game_id,timestamp,seed,winner,turns_played,human_life_end,ai_life_end,human_cards_drawn,ai_cards_drawn,human_resources_played,ai_resources_played,human_units_played,ai_units_played,human_attackers_declared,ai_attackers_declared,human_unblocked_attacks,ai_unblocked_attacks,normal_blocks,multi_blocks,unit_combats,dice_comparisons,human_units_destroyed,ai_units_destroyed,mutual_destructions,combats_without_destruction,human_player_damage_dealt,ai_player_damage_dealt,human_unit_damage_dealt,ai_unit_damage_dealt,avg_dice_comparisons_per_combat,start_player
game-20260803-011300-996966973391,2026-08-03T01:13:00,996966973391,Spieler,1,20,18,0,0,0,0,2,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1.00,1,2,0,0,0,0,0,0,0.00,Spieler
game-20260803-011300-3746295515,2026-08-03T01:13:00,3746295515,Spieler,1,20,20,0,0,0,0,3,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.00,1,2,0,0,0,0,0,0,0.00,Spieler
game-20260803-011300-379497718825,2026-08-03T01:13:00,379497718825,Spieler,1,18,20,2,0,0,0,2,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.00,1,2,0,0,2,0,2,0,0.00,Spieler
game-20260803-011300-13831211345,2026-08-03T01:13:00,13831211345,Spieler,1,20,20,1,0,0,0,2,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.00,1,2,0,0,0,0,0,0,0.00,Gegner
game-20260803-011345-695673022970,2026-08-03T01:13:45,695673022970,Spieler,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0.00,Gegner
game-20260803-011345-792006386647,2026-08-03T01:13:45,792006386647,Spieler,1,20,20,0,0,0,0,2,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.00,1,2,2,0,0,0,0,0,0.00,Spieler
game-20260803-011345-831516580899,2026-08-03T01:13:45,831516580899,Spieler,1,20,18,0,0,0,0,2,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1.00,1,2,0,0,0,0,0,0,0.00,Spieler
game-20260803-011345-66530722402,2026-08-03T01:13:45,66530722402,Spieler,1,20,20,0,0,0,0,3,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.00,1,2,0,0,0,0,0,0,0.00,Spieler
game-20260803-011345-549311269864,2026-08-03T01:13:45,549311269864,Spieler,1,20,20,0,0,0,0,3,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.00,1,2,0,0,0,0,0,0,0.00,Spieler
game-20260803-011345-867658139641,2026-08-03T01:13:45,867658139641,Spieler,1,20,20,0,0,0,0,3,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.00,1,2,0,0,0,0,0,0,0.00,Spieler
